"x.pos","y.pos","response","pp.wts"
699.341285518087,-2098.49927129519,1,1e-06
702.499991458811,-2057.49994399564,1,1e-06
442.50000243435,-2132.49994187258,1,1e-06
667.982816225591,-2101.1113835677,1,1e-06
662.499992879058,-2102.49994222913,1,1e-06
711.90002055885,-2063.18672756206,1,1e-06
700.221683571217,-2056.01081222756,1,1e-06
703.000104039158,-2056.93706813262,1,1e-06
711.896357622789,-2063.51328704803,1,1e-06
694.072390372814,-2046.85622099211,1,1e-06
667.499992629932,-2037.49994429548,1,1e-06
622.499994668502,-2127.49994139048,1,1e-06
622.499994668502,-2127.49994139048,1,1e-06
582.499996980073,-2127.49994195185,1,1e-06
697.499992070689,-2057.49994416723,1,1e-06
