"date","year","month","day","x.pos","y.pos","code","death","response"
"14/04/2002",2002,4,14,600329.59575182,-2039223.57747583,"ANP",0,0
"28/04/2002",2002,4,28,702499.991298034,-2072499.94323547,"ANS",1,1
"28/04/2002",2002,4,28,539741.713904029,-2102165.65976369,"ANS",0,0
"28/04/2002",2002,4,28,573885.161133171,-2111906.69630824,"ANS",0,0
"20/05/2002",2002,5,20,722499.990598363,-2057499.94437942,"Unk",1,1
"20/05/2002",2002,5,20,587944.227639288,-2082084.13827185,"Unk",0,0
"20/05/2002",2002,5,20,558487.135912186,-2032929.36924705,"Unk",0,0
"16/07/2002",2002,7,16,552499.997569785,-2072499.94345875,"LPS",1,1
"16/07/2002",2002,7,16,437646.111895321,-2118200.90453702,"LPS",0,0
"16/07/2002",2002,7,16,445679.864184531,-2075640.06794238,"LPS",0,0
"19/07/2002",2002,7,19,707499.991127625,-2057499.94455454,"Unk",1,1
"19/07/2002",2002,7,19,707499.991127625,-2057499.94455454,"Unk",1,1
"19/07/2002",2002,7,19,449027.260971701,-2046866.54461079,"Unk",0,0
"19/07/2002",2002,7,19,703094.677117963,-2134236.14931035,"Unk",0,0
"19/07/2002",2002,7,19,737907.603704539,-2126143.59587334,"Unk",0,0
"19/07/2002",2002,7,19,476141.174947785,-2063201.51358549,"Unk",0,0
"09/08/2002",2002,8,9,672499.992272645,-2097499.94275972,"Unk",1,1
"09/08/2002",2002,8,9,688366.131254412,-2111007.52370412,"Unk",0,0
"09/08/2002",2002,8,9,715480.045230495,-2089277.51910475,"Unk",0,0
"26/08/2002",2002,8,26,722499.990598363,-2057499.94437942,"Unk",1,1
"26/08/2002",2002,8,26,463421.067156536,-2128841.11368568,"Unk",0,0
"26/08/2002",2002,8,26,527356.345791497,-2112805.86891235,"Unk",0,0
"05/09/2002",2002,9,5,717499.990225319,-2052499.94422309,"Unk",1,1
"05/09/2002",2002,9,5,717499.990225319,-2052499.94422309,"Unk",1,1
"05/09/2002",2002,9,5,578906.256313927,-2084182.20768144,"Unk",0,0
"05/09/2002",2002,9,5,703429.41679668,-2139331.46073366,"Unk",0,0
"05/09/2002",2002,9,5,695730.404186187,-2071294.0670225,"Unk",0,0
"05/09/2002",2002,9,5,415888.032778711,-2111307.24790549,"Unk",0,0
"06/09/2002",2002,9,6,617499.994539607,-2057499.94348962,"OA",1,1
"06/09/2002",2002,9,6,514301.498321531,-2108609.73009316,"OA",0,0
"06/09/2002",2002,9,6,518653.114144853,-2046416.95830873,"OA",0,0
"13/09/2002",2002,9,13,527499.999336212,-2057499.94450401,"Unk",1,1
"13/09/2002",2002,9,13,462751.587799102,-2068446.68710948,"Unk",0,0
"13/09/2002",2002,9,13,670290.188603689,-2122397.04335621,"Unk",0,0
"24/09/2002",2002,9,24,642499.994268863,-2117499.94215905,"ANP",1,1
"24/09/2002",2002,9,24,556478.697839883,-2053460.47704094,"ANP",0,0
"24/09/2002",2002,9,24,549449.164586824,-2123296.21596032,"ANP",0,0
"27/09/2002",2002,9,27,657499.993014921,-2112499.94207538,"Unk",1,1
"27/09/2002",2002,9,27,481162.270128541,-2128241.66528294,"Unk",0,0
"27/09/2002",2002,9,27,694391.445471319,-2161960.63793715,"Unk",0,0
"02/10/2002",2002,10,2,707499.991206316,-2082499.94380847,"Unk",1,1
"02/10/2002",2002,10,2,537398.53615301,-2129140.83788705,"Unk",0,0
"02/10/2002",2002,10,2,540745.932940181,-2128691.251585,"Unk",0,0
"09/10/2002",2002,10,9,717499.991072031,-2047499.94475659,"Unk",1,1
"09/10/2002",2002,10,9,728869.632379178,-2109359.04059658,"Unk",0,0
"09/10/2002",2002,10,9,631795.125551225,-2027983.91992443,"Unk",0,0
"10/10/2002",2002,10,10,707499.991127625,-2057499.94455454,"Unk",1,1
"10/10/2002",2002,10,10,568864.065952415,-2051811.9939334,"Unk",0,0
"10/10/2002",2002,10,10,453378.876795023,-2151320.42878849,"Unk",0,0
"20/10/2002",2002,10,20,697499.991906915,-2062499.94420429,"Unk",1,1
"20/10/2002",2002,10,20,420909.127959467,-2121647.73285278,"Unk",0,0
"20/10/2002",2002,10,20,714141.086515626,-2083133.17297664,"Unk",0,0
"24/10/2002",2002,10,24,537499.998794878,-2077499.94320197,"OA",1,1
"24/10/2002",2002,10,24,529364.7838638,-2068146.96290811,"OA",0,0
"24/10/2002",2002,10,24,550118.643944259,-2092124.89901777,"OA",0,0
"29/10/2002",2002,10,29,712499.991099651,-2077499.94330402,"Unk",1,1
"29/10/2002",2002,10,29,531707.961614819,-2042970.12999297,"Unk",0,0
"29/10/2002",2002,10,29,634473.042980962,-2150571.11828506,"Unk",0,0
"25/11/2002",2002,11,25,607499.995106528,-2117499.94171113,"STR",1,1
"25/11/2002",2002,11,25,516309.936393834,-2115653.24882537,"STR",0,0
"25/11/2002",2002,11,25,584931.570530835,-2096770.62413901,"STR",0,0
"04/12/2002",2002,12,4,462500.001138906,-2087499.94332632,"Unk",1,1
"04/12/2002",2002,12,4,524343.688683044,-2077438.4131506,"Unk",0,0
"04/12/2002",2002,12,4,585601.049888269,-2064100.6861896,"Unk",0,0
"11/12/2002",2002,12,11,592499.996218141,-2122499.94219322,"ANP",1,1
"11/12/2002",2002,12,11,608698.087719747,-2120448.8360473,"ANP",0,0
"11/12/2002",2002,12,11,742259.219527861,-2048065.44141627,"ANP",0,0
"30/12/2002",2002,12,30,707499.991127625,-2057499.94455454,"Unk",1,1
"30/12/2002",2002,12,30,662256.436314479,-2147723.73837204,"Unk",0,0
"30/12/2002",2002,12,30,483840.187558277,-2118350.76663771,"Unk",0,0
"06/02/2003",2003,2,6,432500.003351493,-2107499.94212578,"Unk",1,1
"06/02/2003",2003,2,6,567525.107237547,-2078187.72365403,"Unk",0,0
"06/02/2003",2003,2,6,705437.854868982,-2093923.24422599,"Unk",0,0
"12/02/2003",2003,2,12,447500.002662182,-2137499.94141525,"Unk",1,1
"12/02/2003",2003,2,12,446684.083220682,-2158813.53382275,"Unk",0,0
"12/02/2003",2003,2,12,563842.970771659,-2105312.76387808,"Unk",0,0
"23/07/2003",2003,7,23,592499.996502716,-2117499.94174504,"Unk",1,1
"23/07/2003",2003,7,23,689035.610611846,-2142028.97854599,"Unk",0,0
"23/07/2003",2003,7,23,698408.321615924,-2132737.5283035,"Unk",0,0
"02/08/2003",2003,8,2,702499.991468827,-2082499.94285013,"Unk",1,1
"02/08/2003",2003,8,2,556813.4375186,-2142778.28904942,"Unk",0,0
"02/08/2003",2003,8,2,528360.564827649,-2069046.13551222,"Unk",0,0
"08/08/2003",2003,8,8,447500.002662182,-2137499.94141525,"MIS",1,1
"08/08/2003",2003,8,8,485848.62563058,-2088078.62229926,"MIS",0,0
"08/08/2003",2003,8,8,687027.172539543,-2156116.01601042,"MIS",0,0
"20/08/2003",2003,8,20,642499.994495513,-2107499.9423409,"LPS",1,1
"20/08/2003",2003,8,20,503255.088923868,-2056457.71905465,"LPS",0,0
"20/08/2003",2003,8,20,687696.651896977,-2167355.67356182,"LPS",0,0
"09/09/2003",2003,9,9,567499.997453508,-2112499.94203054,"Unk",1,1
"09/09/2003",2003,9,9,532499.998448981,-2097499.94226546,"Unk",1,1
"09/09/2003",2003,9,9,532499.998448981,-2097499.94226546,"Unk",1,1
"09/09/2003",2003,9,9,416557.512136145,-2113854.90361715,"Unk",0,0
"09/09/2003",2003,9,9,735899.165632236,-2119999.24974525,"Unk",0,0
"09/09/2003",2003,9,9,732886.508523783,-2065899.03139783,"Unk",0,0
"09/09/2003",2003,9,9,594639.02121363,-2067697.37660605,"Unk",0,0
"09/09/2003",2003,9,9,726191.714949441,-2045068.19940256,"Unk",0,0
"09/09/2003",2003,9,9,697738.84225849,-2132587.66620282,"Unk",0,0
"10/09/2003",2003,9,10,652499.993061995,-2107499.94260264,"Unk",1,1
"10/09/2003",2003,9,10,707499.991206316,-2082499.94380847,"Unk",1,1
"10/09/2003",2003,9,10,502500.000120887,-2092499.94326605,"Unk",1,1
"10/09/2003",2003,9,10,507500.000163891,-2092499.94285343,"Unk",1,1
"10/09/2003",2003,9,10,567499.997657339,-2077499.94362541,"Unk",1,1
"10/09/2003",2003,9,10,627499.994903249,-2122499.94257308,"Unk",1,1
"10/09/2003",2003,9,10,532499.998448981,-2097499.94226546,"Unk",1,1
"10/09/2003",2003,9,10,693387.226435168,-2093773.38212531,"Unk",0,0
"10/09/2003",2003,9,10,488861.282739034,-2127941.94108157,"Unk",0,0
"10/09/2003",2003,9,10,536059.577438141,-2139181.59863297,"Unk",0,0
"10/09/2003",2003,9,10,452039.918080155,-2090476.41591023,"Unk",0,0
"10/09/2003",2003,9,10,604011.732217708,-2146974.42786861,"Unk",0,0
"10/09/2003",2003,9,10,538737.494867878,-2111606.97210686,"Unk",0,0
"10/09/2003",2003,9,10,692717.747077734,-2051961.85603409,"Unk",0,0
"10/09/2003",2003,9,10,592965.322820044,-2072792.68802935,"Unk",0,0
"10/09/2003",2003,9,10,419570.169244599,-2130639.45889391,"Unk",0,0
"10/09/2003",2003,9,10,627778.249406621,-2052261.58023546,"Unk",0,0
"10/09/2003",2003,9,10,734225.467238651,-2079236.75835883,"Unk",0,0
"10/09/2003",2003,9,10,552461.821695278,-2051212.54553066,"Unk",0,0
"10/09/2003",2003,9,10,484844.406594429,-2086729.86339309,"Unk",0,0
"10/09/2003",2003,9,10,636816.220731982,-2137383.25342475,"Unk",0,0
"11/09/2003",2003,9,11,707499.991613791,-2067499.94402771,"Unk",1,1
"11/09/2003",2003,9,11,707499.991127625,-2057499.94455454,"Unk",1,1
"11/09/2003",2003,9,11,702499.991458811,-2057499.94399564,"Unk",1,1
"11/09/2003",2003,9,11,702499.990889313,-2067499.9441785,"Unk",1,1
"11/09/2003",2003,9,11,702499.990889313,-2067499.9441785,"Unk",1,1
"11/09/2003",2003,9,11,697499.991884011,-2067499.9441801,"Unk",1,1
"11/09/2003",2003,9,11,717499.990626044,-2057499.94382218,"Unk",1,1
"11/09/2003",2003,9,11,717499.990626044,-2057499.94382218,"Unk",1,1
"11/09/2003",2003,9,11,527021.60611278,-2095571.72733353,"Unk",0,0
"11/09/2003",2003,9,11,480492.790771107,-2045367.92360393,"Unk",0,0
"11/09/2003",2003,9,11,616062.360651523,-2034577.85235459,"Unk",0,0
"11/09/2003",2003,9,11,647193.150772211,-2155816.29180905,"Unk",0,0
"11/09/2003",2003,9,11,503589.828602585,-2080735.37936568,"Unk",0,0
"11/09/2003",2003,9,11,630121.42715764,-2161810.77583646,"Unk",0,0
"11/09/2003",2003,9,11,502250.869887717,-2116552.42142948,"Unk",0,0
